x,sum,gauss
-140.0,3.0190834227764206e-12,2.7153222748870315e-27
-139.839998399984,3.210273016456702e-12,3.264764946051089e-27
-139.679996799968,3.4132212292355607e-12,3.924236330299521e-27
-139.519995199952,3.628628640217231e-12,4.715536257307569e-27
-139.359993599936,3.857236141644678e-12,5.664736612613201e-27
-139.19999199992,4.099827170921412e-12,6.803009132333111e-27
-139.03999039990399,4.357230060981016e-12,8.167611747931679e-27
-138.879988799888,4.630320514975644e-12,9.803063487458949e-27
-138.719987199872,4.920024211541752e-12,1.1762543548882688e-26
-138.559985599856,5.22731954719532e-12,1.4109556805593742e-26
-138.39998399984,5.553240522721673e-12,1.691991587245006e-26
-138.239982399824,5.898879780748188e-12,2.028409917529626e-26
-138.079980799808,6.265391802024908e-12,2.4310055490039903e-26
-137.919979199792,6.6539962682933884e-12,2.9126538458423474e-26
-137.759977599776,7.065981599990332e-12,3.4887070010968924e-26
-137.59997599976,7.502708677418297e-12,4.177464986266982e-26
-137.439974399744,7.965614754416146e-12,5.000734979954572e-26
-137.279972799728,8.456217573979791e-12,5.98449569394901e-26
-137.11997119971198,8.976119695721444e-12,7.159686022987809e-26
-136.959969599696,9.527013045508115e-12,8.563140996144352e-26
-136.79996799968,1.0110683698097118e-11,1.0238702200305172e-25
-136.639966399664,1.0729016904078287e-11,1.2238534793519488e-25
-136.479964799648,1.1384002372949692e-11,1.462468906219105e-25
-136.31996319963199,1.207773982469018e-11,1.7470951358634067e-25
-136.159961599616,1.281244482275025e-11,2.086503736938766e-25
-135.9999599996,1.3590454901969187e-11,2.491119022721831e-25
-135.839958399584,1.4414236005529497e-11,2.973325724581972e-25
-135.679956799568,1.5286389245693993e-11,3.5478332325256084e-25
-135.519955199552,1.6209658003732188e-11,4.232106669915076e-25
-135.359953599536,1.7186935385121376e-11,5.046876908319949e-25
-135.19995199951998,1.822127204682988e-11,6.016743792160903e-25
-135.039950399504,1.9315884414224353e-11,7.170889387885236e-25
-134.879948799488,2.0474163305925438e-11,8.543921065185775e-25
-134.719947199472,2.1699682985729985e-11,1.0176867735799114e-24
-134.559945599456,2.2996210661562004e-11,1.211835670961721e-24
-134.39994399943998,2.4367716452285623e-11,1.4426003484536412e-24
-134.239942399424,2.581838384410832e-11,1.7168052490091534e-24
-134.079940799408,2.735262065926011e-11,2.0425313501049488e-24
-133.919939199392,2.8975070560593717e-11,2.4293446295889506e-24
-133.759937599376,3.069062511678254e-11,2.8885655355444723e-24
-133.59993599935999,3.250443645384748e-11,3.4335867211308444e-24
-133.439934399344,3.442193051982782e-11,4.080247573338229e-24
-133.27993279932798,3.6448820990577403e-11,4.84727555082612e-24
-133.119931199312,3.859112384582422e-11,5.756806087491049e-24
-132.959929599296,4.085517264588854e-11,6.834994858330712e-24
-132.79992799928,4.324763454070852e-11,8.112738592889398e-24
-132.639926399264,4.5775527044166274e-11,9.626523417845194e-24
-132.47992479924798,4.8446235608082675e-11,1.1419422982601536e-23
-132.319923199232,5.126753203166072e-11,1.3542272449865432e-23
-132.159921599216,5.424759374367045e-11,1.6055048910135584e-23
-131.9999199992,5.739502399617797e-11,1.9028494013005314e-23
-131.839918399184,6.071887301023407e-11,2.254602072529742e-23
-131.67991679916798,6.422866011559345e-11,2.670595327297969e-23
-131.519915199152,6.793439692823655e-11,3.1624157671181676e-23
-131.35991359913598,7.18466116112739e-11,3.743712999304733e-23
-131.19991199912,7.597637426661756e-11,4.430562090424399e-23
-131.039910399104,8.033532350676585e-11,5.241888826411435e-23
-130.87990879908799,8.49356942579793e-11,6.199968507814309e-23
-130.719907199072,8.979034684821261e-11,7.331010814178022e-23
-130.55990559905598,9.491279743528594e-11,8.665845376287326e-23
-130.39990399904,1.0031724983296198e-10,1.0240725147682697e-22
-130.239902399024,1.060186287949153e-10,1.2098267524130132e-22
-130.079900799008,1.1203261481889037e-10,1.4288556487209135e-22
-129.919899198992,1.1837568053583273e-10,1.68704329220259e-22
-129.75989759897598,1.2506512875129092e-10,1.9913004767520562e-22
-129.59989599896,1.3211913220898493e-10,2.3497413903105554e-22
-129.43989439894398,1.3955677514918597e-10,2.7718902776013874e-22
-129.279892798928,1.473980967373018e-10,3.2689230866748755e-22
-129.119891198912,1.5566413644101578e-10,3.8539499334378757e-22
-128.95988959889598,1.6437698143726826e-10,4.542345176263869e-22
-128.79988799888,1.7355981613348753e-10,5.352133005460178e-22
-128.63988639886398,1.8323697389071275e-10,6.3044377443770175e-22
-128.479884798848,1.9343399103947705e-10,7.424009558690982e-22
-128.31988319883197,2.0417766328282762e-10,8.739838010733838e-22
-128.15988159881599,2.1549610458430744e-10,1.0285867914571701e-21
-127.99987999879998,2.2741880864245194e-10,1.2101834288720285e-21
-127.83987839878398,2.3997671305703363e-10,1.423423591742406e-21
-127.67987679876799,2.532022662962372e-10,1.6737470176769134e-21
-127.51987519875199,2.6712949757795063e-10,1.9675155425808112e-21
-127.35987359873599,2.8179408978246844e-10,2.3121671483051952e-21
-127.19987199871998,2.972334555182064e-10,2.71639535946583e-21
-127.03987039870398,3.1348681646644125e-10,3.190358095556484e-21
-126.879868798688,3.305952861356018e-10,3.7459207387624614e-21
-126.71986719867199,3.4860195616038834e-10,4.3969389346354565e-21
-126.55986559865599,3.6755198628573505e-10,5.159587517787363e-21
-126.39986399863999,3.874926981807565e-10,6.052742966144791e-21
