x,sum,gauss
-140.0,6.065301736004841e-23,5.42364919972598e-27
-139.839998399984,7.206345281561279e-23,6.489611546367666e-27
-139.679996799968,8.559288407134835e-23,7.762893297704454e-27
-139.519995199952,1.0162959412968923e-22,9.283384466849993e-27
-139.359993599936,1.2063203649125049e-22,1.1098565825594686e-26
-139.19999199992,1.4314133571184702e-22,1.3264937025871756e-26
-139.03999039990399,1.6979598194881099e-22,1.584971027769461e-26
-138.879988799888,2.0134909864550308e-22,1.8932818370409145e-26
-138.719987199872,2.3868872697500105e-22,2.260929467596821e-26
-138.559985599856,2.8286164591531612e-22,2.6992093210261527e-26
-138.39998399984,3.3510133463033393e-22,3.2215429131626633e-26
-138.239982399824,3.968607862394628e-22,3.843873455355164e-26
-138.079980799808,4.698510014603948e-22,4.58513416275498e-26
-137.919979199792,5.560861297756078e-22,5.467802496569775e-26
-137.759977599776,6.579363879140432e-22,6.518555915216154e-26
-137.59997599976,7.781900742828393e-22,7.769047496308081e-26
-137.439974399744,9.201262178461687e-22,9.256823070592077e-26
-137.279972799728,1.0875996558319877e-21,1.1026405365985677e-25
-137.11997119971198,1.285140632349154e-21,1.3130575195292572e-25
-136.959969599696,1.5180713562217733e-21,1.5631885052557372e-25
-136.79996799968,1.792642358863461e-21,1.8604446748236092e-25
-136.639966399664,2.116191960798205e-21,2.2136042073629394e-25
-136.479964799648,2.497332698879284e-21,2.6330614129146226e-25
-136.31996319963199,2.9461691973697056e-21,3.1311207099755236e-25
-136.159961599616,3.474552698698203e-21,3.7223434172632223e-25
-135.9999599996,4.0963783199376745e-21,4.423956726857914e-25
-135.839958399584,4.8279320873576925e-21,5.256335865299314e-25
-135.679956799568,5.688295945166067e-21,6.243572371648957e-25
-135.519955199552,6.699820260413854e-21,7.414143675123356e-25
-135.359953599536,7.888674882429848e-21,8.80170179589104e-25
-135.19995199951998,9.285491594874254e-21,1.0446002086671384e-24
-135.039950399504,1.0926112859312186e-20,1.2393996556434297e-24
-134.879948799488,1.2852464134673601e-20,1.4701120560189766e-24
-134.719947199472,1.511356981718488e-20,1.7432806604717515e-24
-134.559945599456,1.7766736038073615e-20,2.0666264830666286e-24
-134.39994399943998,2.087892724796753e-20,2.449257652829168e-24
-134.239942399424,2.4528367783814158e-20,2.9019154992161503e-24
-134.079940799408,2.880640454425063e-20,3.43726373116042e-24
-133.919939199392,3.381967259355622e-20,4.070228155211592e-24
-133.759937599376,3.9692612088754473e-20,4.818395646885649e-24
-133.59993599935999,4.6570392512313904e-20,5.7024825709633686e-24
-133.439934399344,5.462230894721809e-20,6.746884576382348e-24
-133.27993279932798,6.404572522772259e-20,7.980321710540433e-24
-133.119931199312,7.507065043910795e-20,9.436595153885358e-24
-132.959929599296,8.796504865456743e-20,1.1155474624003972e-23
-132.79992799928,1.0304099725161259e-19,1.3183738703310372e-23
-132.639926399264,1.2066182694785979e-19,1.5576394080610453e-23
-132.47992479924798,1.4125039718438986e-19,1.8398104050969524e-23
-132.319923199232,1.6529868406208003e-19,2.1724861691081874e-23
-132.159921599216,1.9337888515854037e-19,2.5645949035544222e-23
-131.9999199992,2.2615627674141433e-19,3.0266230458444104e-23
-131.839918399184,2.6440409474485634e-19,3.5708836471610207e-23
-131.67991679916798,3.0902075207140514e-19,4.2118303467736463e-23
-131.519915199152,3.61049752100451e-19,4.9664245774279675e-23
-131.35991359913598,4.2170271261795737e-19,5.854564898701561e-23
-131.19991199912,4.923859767454569e-19,6.899588820319416e-23
-131.039910399104,5.747313590015067e-19,8.128859180115317e-23
-130.87990879908799,6.706316566985259e-19,9.574449119483816e-23
-130.719907199072,7.822816509736649e-19,1.1273941996677386e-22
-130.55990559905598,9.122254295961935e-19,1.3271365245867417e-22
-130.39990399904,1.0634109872469873e-18,1.5618280286139198e-22
-130.239902399024,1.239253200467427e-18,1.83750541773378e-22
