x,sum,gauss
-140.0,2.630915019057302e-10,2.43534009643577e-09
-139.839998399984,2.8987795506057974e-10,2.650449483753168e-09
-139.679996799968,3.1930337141646195e-10,2.8839324497126275e-09
-139.519995199952,3.516185395919599e-10,3.1373016412757493e-09
-139.359993599936,3.8709715010072414e-10,3.4121892484354807e-09
-139.19999199992,4.2603779528954755e-10,3.7103560262295655e-09
-139.03999039990399,4.687661352316332e-10,4.033700962568221e-09
-138.879988799888,5.15637242547975e-10,4.384271635309396e-09
-138.719987199872,5.67038140073588e-10,4.764275304724704e-09
-138.559985599856,6.233905462911888e-10,5.176090790356062e-09
-138.39998399984,6.851538445275513e-10,5.6222811842851004e-09
-138.239982399824,7.528282930502801e-10,6.105607456025847e-09
-138.079980799808,8.269584944191513e-10,6.629043007613284e-09
-137.919979199792,9.081371437416003e-10,7.195789241013714e-09
-137.759977599776,9.97009076859177e-10,7.809292203721154e-09
-137.59997599976,1.0942756409570658e-09,8.47326038235161e-09
-137.439974399744,1.2006994116460527e-09,9.191683718204583e-09
-137.279972799728,1.317109282219941e-09,9.96885392313481e-09
-137.11997119971198,1.4444059525488172e-09,1.0809386178693586e-08
-136.959969599696,1.5835678469317769e-09,1.1718242306342077e-08
-136.79996799968,1.7356574922113896e-09,1.2700755501650823e-08
-136.639966399664,1.9018283895478878e-09,1.3762656730758673e-08
-136.479964799648,2.083332415473791e-09,1.4910102893010175e-08
-136.31996319963199,2.281527790203378e-09,1.614970685961886e-08
-136.159961599616,2.4978876536620816e-09,1.748856950442219e-08
-135.9999599996,2.73400929233906e-09,1.893431384934138e-08
-135.839958399584,2.9916240628528644e-09,2.0495121454006392e-08
-135.679956799568,3.272608061068439e-09,2.217977118620871e-08
-135.519955199552,3.578993588717797e-09,2.3997680517390225e-08
-135.359953599536,3.9129814727630905e-09,2.5958949495272964e-08
-135.19995199951998,4.276954296212983e-09,2.8074407554034514e-08
-135.039950399504,4.673490602760383e-09,3.035566333108865e-08
-134.879948799488,5.105380141470974e-09,3.281515766863208e-08
-134.719947199472,5.5756402218141375e-09,3.5466219987596684e-08
-134.559945599456,6.087533253610329e-09,3.832312823159452e-08
-134.39994399943998,6.644585550974587e-09,4.1401172588828456e-08
-134.239942399424,7.250607484071452e-09,4.471672321077364e-08
-134.079940799408,7.909715067482514e-09,4.828730215779382e-08
-133.919939199392,8.626353079216228e-09,5.2131659813655634e-08
-133.759937599376,9.405319809887963e-09,5.626985602326127e-08
-133.59993599935999,1.0251793547364294e-08,6.072334622079296e-08
-133.439934399344,1.1171360908208547e-08,6.551507282885087e-08
-133.27993279932798,1.2170047133609908e-08,7.066956222318182e-08
-133.119931199312,1.3254348474105789e-08,7.621302757209864e-08
-132.959929599296,1.44312667943682e-08,8.21734778748904e-08
-132.79992799928,1.5708346536582245e-08,8.858083353922583e-08
-132.639926399264,1.7093714188548223e-08,9.54670488539706e-08
-132.47992479924798,1.8596120410582236e-08,1.0286624173085496e-07
-132.319923199232,2.0224984983563993e-08,1.108148311060761e-07
-132.159921599216,2.199044474914375e-08,1.1935168241133294e-07
-131.9999199992,2.390340472211946e-08,1.2851826154275945e-07
-131.839918399184,2.5975592564395062e-08,1.383587977760155e-07
-131.67991679916798,2.8219616619708886e-08,1.4892045609625058e-07
-131.519915199152,3.0649027718481103e-08,1.6025351943279048e-07
-131.35991359913598,3.327838497271974e-08,1.7241158131042425e-07
-131.19991199912,3.61233257918866e-08,1.8545174945174263e-07
-131.039910399104,3.920064036204561e-08,1.994348608885589e-07
-130.87990879908799,4.252835084241819e-08,2.1442570916456317e-07
-130.719907199072,4.6125795545731817e-08,2.3049328423645838e-07
-130.55990559905598,5.001371838143785e-08,2.477110257066561e-07
-130.39990399904,5.42143638539757e-08,2.661570900471415e-07
-130.239902399024,5.875157792185398e-08,2.859146325017135e-07
-130.079900799008,6.365091503729848e-08,3.0707210438190007e-07
-129.919899198992,6.89397517006841e-08,3.297235665010348e-07
-129.75989759897598,7.464740687887225e-08,3.5396901952089035e-07
-129.59989599896,8.080526965188836e-08,3.7991475201586905e-07
-129.43989439894398,8.744693446820015e-08,4.0767370709150264e-07
-129.279892798928,9.46083444050288e-08,4.373658684261482e-07
-129.119891198912,1.0232794284683576e-07,4.691186666382114e-07
-128.95988959889598,1.1064683401215616e-07,5.030674069149747e-07
-128.79988799888,1.196089527764824e-07,5.393557188740641e-07
-128.63988639886398,1.2926124425681787e-07,5.78136029664177e-07
-128.479884798848,1.3965385364177284e-07,6.195700613478423e-07
-128.31988319883197,1.5084032676984793e-07,6.638293536464217e-07
-128.15988159881599,1.6287782197751151e-07,7.110958131649842e-07
-127.99987999879998,1.7582733375818548e-07,7.61562290253688e-07
-127.83987839878398,1.897539287929017e-07,8.154331847010648e-07
-127.67987679876799,2.0472699493353493e-07,8.729250814948772e-07
-127.51987519875199,2.208205037398025e-07,9.342674179264551e-07
-127.35987359873599,2.3811328719186598e-07,9.997031833555441e-07
-127.19987199871998,2.5668932922125623e-07,1.0694896529944474e-06
-127.03987039870398,2.7663807272387135e-07,1.1438991571120821e-06
